Cargo;Codigo;Posicao
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
523 - TECNICO JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440606;D I
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440701;A I
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440701;A I
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440701;A I
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440701;A I
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440701;A I
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440701;A I
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440702;A II
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440702;A II
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440702;A II
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440702;A II
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440702;A II
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440702;A II
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440703;A III
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440703;A III
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440703;A III
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440703;A III
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440703;A III
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440703;A III
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440704;A IV
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440704;A IV
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440704;A IV
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440704;A IV
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440704;A IV
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440704;A IV
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440705;A V
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440705;A V
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440705;A V
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440705;A V
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440705;A V
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440705;A V
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440801;B I
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440801;B I
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440801;B I
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440801;B I
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440801;B I
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440801;B I
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440802;B II
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440802;B II
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440802;B II
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440802;B II
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440802;B II
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440802;B II
816 - AGENTE SERVICO JUDIACIARIOS - Servidores Efetivos do Poder Judiciário - LEGADO;440802;B II
816 - AGENTE SERVICO JUDIACIARIOS - Servidores Efetivos do Poder Judiciário - LEGADO;440802;B II
816 - AGENTE SERVICO JUDIACIARIOS - Servidores Efetivos do Poder Judiciário - LEGADO;440802;B II
816 - AGENTE SERVICO JUDIACIARIOS - Servidores Efetivos do Poder Judiciário - LEGADO;440802;B II
816 - AGENTE SERVICO JUDIACIARIOS - Servidores Efetivos do Poder Judiciário - LEGADO;440802;B II
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440803;B III
